NO.,TERM,CLASS,AGE,SEX,EMPLOY,WORK_YEARS,PRO_YEARS,WORK_PRO,CONCEN,ADV_DEG,ADV_NO,IP CATEGORY,IP SCORE
308,4,1,17,2,1,18,18,1.00,7,21,1,3,65
312,4,1,16,1,1,6,5,0.83,2,22,1,3,69
320,4,1,15,1,1,6,4,0.67,12,22,1,3,67
379,4,1,17,2,7,15,6,0.40,7,22,1,3,79
388,4,1,17,2,1,15,5,0.33,6,21,1,3,72
403,4,1,16,1,1,6,5,0.83,9,22,1,3,76
418,4,1,16,1,1,6,5,0.83,2,22,1,3,76
431,4,1,16,2,1,15,5,0.33,12,21,1,3,70
432,4,1,15,2,1,6,5,0.83,12,22,1,3,75
457,4,1,17,2,1,19,14,0.74,1,22,1,3,66
